Duplicate	0,Epoch	 0	 Train Accuracy	 0.5078	 Train AUC Score: 0.5293	 Test Accuracy: 0.5186	 Test AUC Score: 0.4882
Duplicate	0,Epoch	 10	 Train Accuracy	 0.4922	 Train AUC Score: 0.5412	 Test Accuracy: 0.4814	 Test AUC Score: 0.4984
Duplicate	0,Epoch	 20	 Train Accuracy	 0.4922	 Train AUC Score: 0.4689	 Test Accuracy: 0.4814	 Test AUC Score: 0.5449
Duplicate	0,Epoch	 30	 Train Accuracy	 0.5078	 Train AUC Score: 0.5347	 Test Accuracy: 0.5186	 Test AUC Score: 0.4911
Duplicate	0,Epoch	 40	 Train Accuracy	 0.4922	 Train AUC Score: 0.5284	 Test Accuracy: 0.4814	 Test AUC Score: 0.5183
Duplicate	0,Epoch	 50	 Train Accuracy	 0.5078	 Train AUC Score: 0.4727	 Test Accuracy: 0.5186	 Test AUC Score: 0.5047
Duplicate	0,Epoch	 60	 Train Accuracy	 0.4922	 Train AUC Score: 0.5375	 Test Accuracy: 0.4814	 Test AUC Score: 0.5532
Duplicate	0,Epoch	 70	 Train Accuracy	 0.4922	 Train AUC Score: 0.5182	 Test Accuracy: 0.4814	 Test AUC Score: 0.5198
Duplicate	0,Epoch	 80	 Train Accuracy	 0.4922	 Train AUC Score: 0.5372	 Test Accuracy: 0.4814	 Test AUC Score: 0.5238
Duplicate	0,Epoch	 90	 Train Accuracy	 0.4922	 Train AUC Score: 0.5455	 Test Accuracy: 0.4814	 Test AUC Score: 0.5160
Duplicate	0,Epoch	 100	 Train Accuracy	 0.4922	 Train AUC Score: 0.4857	 Test Accuracy: 0.4814	 Test AUC Score: 0.4952
Duplicate	1,Epoch	 0	 Train Accuracy	 0.5000	 Train AUC Score: 0.5024	 Test Accuracy: 0.4503	 Test AUC Score: 0.5037
Duplicate	1,Epoch	 10	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.5792
Duplicate	1,Epoch	 20	 Train Accuracy	 0.5000	 Train AUC Score: 0.5228	 Test Accuracy: 0.5497	 Test AUC Score: 0.5339
Duplicate	1,Epoch	 30	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.4213
Duplicate	1,Epoch	 40	 Train Accuracy	 0.5000	 Train AUC Score: 0.4928	 Test Accuracy: 0.4503	 Test AUC Score: 0.4722
Duplicate	1,Epoch	 50	 Train Accuracy	 0.5000	 Train AUC Score: 0.5247	 Test Accuracy: 0.4503	 Test AUC Score: 0.5827
Duplicate	1,Epoch	 60	 Train Accuracy	 0.5000	 Train AUC Score: 0.4781	 Test Accuracy: 0.5497	 Test AUC Score: 0.4485
Duplicate	1,Epoch	 70	 Train Accuracy	 0.5000	 Train AUC Score: 0.4803	 Test Accuracy: 0.4503	 Test AUC Score: 0.5085
Duplicate	1,Epoch	 80	 Train Accuracy	 0.5000	 Train AUC Score: 0.5034	 Test Accuracy: 0.4503	 Test AUC Score: 0.4259
Duplicate	1,Epoch	 90	 Train Accuracy	 0.5000	 Train AUC Score: 0.4848	 Test Accuracy: 0.4503	 Test AUC Score: 0.4636
Duplicate	1,Epoch	 100	 Train Accuracy	 0.5000	 Train AUC Score: 0.5289	 Test Accuracy: 0.5497	 Test AUC Score: 0.4688
Duplicate	2,Epoch	 0	 Train Accuracy	 0.5000	 Train AUC Score: 0.5024	 Test Accuracy: 0.4503	 Test AUC Score: 0.5037
Duplicate	2,Epoch	 10	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.5792
Duplicate	2,Epoch	 20	 Train Accuracy	 0.5000	 Train AUC Score: 0.5228	 Test Accuracy: 0.5497	 Test AUC Score: 0.5339
Duplicate	2,Epoch	 30	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.4213
Duplicate	2,Epoch	 40	 Train Accuracy	 0.5000	 Train AUC Score: 0.4928	 Test Accuracy: 0.4503	 Test AUC Score: 0.4722
Duplicate	2,Epoch	 50	 Train Accuracy	 0.5000	 Train AUC Score: 0.5247	 Test Accuracy: 0.4503	 Test AUC Score: 0.5827
Duplicate	2,Epoch	 60	 Train Accuracy	 0.5000	 Train AUC Score: 0.4781	 Test Accuracy: 0.5497	 Test AUC Score: 0.4485
Duplicate	2,Epoch	 70	 Train Accuracy	 0.5000	 Train AUC Score: 0.4803	 Test Accuracy: 0.4503	 Test AUC Score: 0.5085
Duplicate	2,Epoch	 80	 Train Accuracy	 0.5000	 Train AUC Score: 0.5034	 Test Accuracy: 0.4503	 Test AUC Score: 0.4259
Duplicate	2,Epoch	 90	 Train Accuracy	 0.5000	 Train AUC Score: 0.4848	 Test Accuracy: 0.4503	 Test AUC Score: 0.4636
Duplicate	2,Epoch	 100	 Train Accuracy	 0.5000	 Train AUC Score: 0.5289	 Test Accuracy: 0.5497	 Test AUC Score: 0.4688
Duplicate	3,Epoch	 0	 Train Accuracy	 0.5000	 Train AUC Score: 0.5024	 Test Accuracy: 0.4503	 Test AUC Score: 0.5037
Duplicate	3,Epoch	 10	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.5792
Duplicate	3,Epoch	 20	 Train Accuracy	 0.5000	 Train AUC Score: 0.5228	 Test Accuracy: 0.5497	 Test AUC Score: 0.5339
Duplicate	3,Epoch	 30	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.4213
Duplicate	3,Epoch	 40	 Train Accuracy	 0.5000	 Train AUC Score: 0.4928	 Test Accuracy: 0.4503	 Test AUC Score: 0.4722
Duplicate	3,Epoch	 50	 Train Accuracy	 0.5000	 Train AUC Score: 0.5247	 Test Accuracy: 0.4503	 Test AUC Score: 0.5827
Duplicate	3,Epoch	 60	 Train Accuracy	 0.5000	 Train AUC Score: 0.4781	 Test Accuracy: 0.5497	 Test AUC Score: 0.4485
Duplicate	3,Epoch	 70	 Train Accuracy	 0.5000	 Train AUC Score: 0.4803	 Test Accuracy: 0.4503	 Test AUC Score: 0.5085
Duplicate	3,Epoch	 80	 Train Accuracy	 0.5000	 Train AUC Score: 0.5034	 Test Accuracy: 0.4503	 Test AUC Score: 0.4259
Duplicate	3,Epoch	 90	 Train Accuracy	 0.5000	 Train AUC Score: 0.4848	 Test Accuracy: 0.4503	 Test AUC Score: 0.4636
Duplicate	3,Epoch	 100	 Train Accuracy	 0.5000	 Train AUC Score: 0.5289	 Test Accuracy: 0.5497	 Test AUC Score: 0.4688
Duplicate	4,Epoch	 0	 Train Accuracy	 0.5000	 Train AUC Score: 0.5024	 Test Accuracy: 0.4503	 Test AUC Score: 0.5037
Duplicate	4,Epoch	 10	 Train Accuracy	 0.5000	 Train AUC Score: 0.5116	 Test Accuracy: 0.4503	 Test AUC Score: 0.5792
