Duplicate	0	Epoch	 0	 Train Accuracy	 0.4779	 Train AUC Score	 0.4261	 Test Accuracy: 0.5093	 test AUC Score	 0.4929	 unseen AUC Score	 0.4595
Duplicate	0	Epoch	 10	 Train Accuracy	 0.5105	 Train AUC Score	 0.5249	 Test Accuracy: 0.5093	 test AUC Score	 0.5305	 unseen AUC Score	 0.4754
Duplicate	0	Epoch	 20	 Train Accuracy	 0.5097	 Train AUC Score	 0.4120	 Test Accuracy: 0.4845	 test AUC Score	 0.4337	 unseen AUC Score	 0.4169
Duplicate	0	Epoch	 30	 Train Accuracy	 0.4957	 Train AUC Score	 0.4932	 Test Accuracy: 0.4752	 test AUC Score	 0.4819	 unseen AUC Score	 0.5196
Duplicate	0	Epoch	 40	 Train Accuracy	 0.5082	 Train AUC Score	 0.5136	 Test Accuracy: 0.4596	 test AUC Score	 0.4851	 unseen AUC Score	 0.4374
Duplicate	0	Epoch	 50	 Train Accuracy	 0.4646	 Train AUC Score	 0.4756	 Test Accuracy: 0.4969	 test AUC Score	 0.4934	 unseen AUC Score	 0.4905
Duplicate	0	Epoch	 60	 Train Accuracy	 0.5206	 Train AUC Score	 0.5250	 Test Accuracy: 0.4814	 test AUC Score	 0.4998	 unseen AUC Score	 0.4877
Duplicate	0	Epoch	 70	 Train Accuracy	 0.4258	 Train AUC Score	 0.4060	 Test Accuracy: 0.4161	 test AUC Score	 0.3612	 unseen AUC Score	 0.3658
Duplicate	0	Epoch	 80	 Train Accuracy	 0.4810	 Train AUC Score	 0.4270	 Test Accuracy: 0.5031	 test AUC Score	 0.3908	 unseen AUC Score	 0.3897
Duplicate	0	Epoch	 90	 Train Accuracy	 0.4825	 Train AUC Score	 0.4646	 Test Accuracy: 0.5342	 test AUC Score	 0.5204	 unseen AUC Score	 0.4489
Duplicate	0	Epoch	 100	 Train Accuracy	 0.4685	 Train AUC Score	 0.4619	 Test Accuracy: 0.5000	 test AUC Score	 0.4737	 unseen AUC Score	 0.4654
Duplicate	1	Epoch	 0	 Train Accuracy	 0.4790	 Train AUC Score	 0.4786	 Test Accuracy: 0.4642	 test AUC Score	 0.4526	 unseen AUC Score	 0.4743
Duplicate	1	Epoch	 10	 Train Accuracy	 0.4899	 Train AUC Score	 0.4971	 Test Accuracy: 0.4798	 test AUC Score	 0.4801	 unseen AUC Score	 0.4513
Duplicate	1	Epoch	 20	 Train Accuracy	 0.4969	 Train AUC Score	 0.4621	 Test Accuracy: 0.5016	 test AUC Score	 0.4663	 unseen AUC Score	 0.4411
Duplicate	1	Epoch	 30	 Train Accuracy	 0.4922	 Train AUC Score	 0.4249	 Test Accuracy: 0.4829	 test AUC Score	 0.4251	 unseen AUC Score	 0.4256
Duplicate	1	Epoch	 40	 Train Accuracy	 0.4922	 Train AUC Score	 0.3893	 Test Accuracy: 0.4829	 test AUC Score	 0.3914	 unseen AUC Score	 0.3914
Duplicate	1	Epoch	 50	 Train Accuracy	 0.5078	 Train AUC Score	 0.5034	 Test Accuracy: 0.5265	 test AUC Score	 0.4926	 unseen AUC Score	 0.5119
Duplicate	1	Epoch	 60	 Train Accuracy	 0.5225	 Train AUC Score	 0.5047	 Test Accuracy: 0.5296	 test AUC Score	 0.5367	 unseen AUC Score	 0.5415
Duplicate	1	Epoch	 70	 Train Accuracy	 0.4845	 Train AUC Score	 0.4818	 Test Accuracy: 0.5047	 test AUC Score	 0.5387	 unseen AUC Score	 0.5317
Duplicate	1	Epoch	 80	 Train Accuracy	 0.5039	 Train AUC Score	 0.5015	 Test Accuracy: 0.5265	 test AUC Score	 0.5339	 unseen AUC Score	 0.4953
Duplicate	1	Epoch	 90	 Train Accuracy	 0.4922	 Train AUC Score	 0.4844	 Test Accuracy: 0.4829	 test AUC Score	 0.5402	 unseen AUC Score	 0.5263
Duplicate	1	Epoch	 100	 Train Accuracy	 0.5078	 Train AUC Score	 0.5005	 Test Accuracy: 0.5202	 test AUC Score	 0.5992	 unseen AUC Score	 0.5008
