Network,networkadex.txt Duplicate,0,Epoch,0, Train Accuracy,0.4744, Train AUC Score,0.4275, Test Accuracy: 0.5424, test AUC Score,0.4774, unseen AUC Score,0.4436
Network,networkadex.txt Duplicate,0,Epoch,10, Train Accuracy,0.4957, Train AUC Score,0.5207, Test Accuracy: 0.4407, test AUC Score,0.4925, unseen AUC Score,0.5013
Network,networkadex.txt Duplicate,0,Epoch,20, Train Accuracy,0.5598, Train AUC Score,0.5367, Test Accuracy: 0.6102, test AUC Score,0.5652, unseen AUC Score,0.6667
Network,networkadex.txt Duplicate,0,Epoch,30, Train Accuracy,0.4444, Train AUC Score,0.4043, Test Accuracy: 0.5593, test AUC Score,0.4098, unseen AUC Score,0.4135
Network,networkadex.txt Duplicate,0,Epoch,40, Train Accuracy,0.4829, Train AUC Score,0.4456, Test Accuracy: 0.4915, test AUC Score,0.5113, unseen AUC Score,0.4975
Network,networkadex.txt Duplicate,0,Epoch,50, Train Accuracy,0.4744, Train AUC Score,0.4571, Test Accuracy: 0.4068, test AUC Score,0.5025, unseen AUC Score,0.5188
Network,networkadex.txt Duplicate,0,Epoch,60, Train Accuracy,0.4957, Train AUC Score,0.484, Test Accuracy: 0.4746, test AUC Score,0.4549, unseen AUC Score,0.5388
Network,networkadex.txt Duplicate,0,Epoch,70, Train Accuracy,0.5256, Train AUC Score,0.441, Test Accuracy: 0.6102, test AUC Score,0.4223, unseen AUC Score,0.4411
Network,networkadex.txt Duplicate,0,Epoch,80, Train Accuracy,0.4872, Train AUC Score,0.4094, Test Accuracy: 0.5763, test AUC Score,0.505, unseen AUC Score,0.5113
Network,networkadex.txt Duplicate,0,Epoch,90, Train Accuracy,0.4872, Train AUC Score,0.454, Test Accuracy: 0.5254, test AUC Score,0.5138, unseen AUC Score,0.4762
Network,networkadex.txt Duplicate,0,Epoch,100, Train Accuracy,0.4744, Train AUC Score,0.4189, Test Accuracy: 0.5593, test AUC Score,0.4674, unseen AUC Score,0.4173
Network,networkcoindash.txt Duplicate,0,Epoch,0, Train Accuracy,0.4439, Train AUC Score,0.4082, Test Accuracy: 0.2778, test AUC Score,0.2237, unseen AUC Score,0.2309
Network,networkcoindash.txt Duplicate,0,Epoch,10, Train Accuracy,0.4346, Train AUC Score,0.3627, Test Accuracy: 0.4259, test AUC Score,0.3117, unseen AUC Score,0.3247
Network,networkcoindash.txt Duplicate,0,Epoch,20, Train Accuracy,0.4486, Train AUC Score,0.4193, Test Accuracy: 0.3519, test AUC Score,0.4343, unseen AUC Score,0.3795
Network,networkcoindash.txt Duplicate,0,Epoch,30, Train Accuracy,0.4346, Train AUC Score,0.3962, Test Accuracy: 0.4074, test AUC Score,0.2843, unseen AUC Score,0.29
Network,networkcoindash.txt Duplicate,0,Epoch,40, Train Accuracy,0.4439, Train AUC Score,0.4501, Test Accuracy: 0.3704, test AUC Score,0.3564, unseen AUC Score,0.2684
Network,networkcoindash.txt Duplicate,0,Epoch,50, Train Accuracy,0.4206, Train AUC Score,0.4159, Test Accuracy: 0.2963, test AUC Score,0.1732, unseen AUC Score,0.2193
