Duplicate	0	Epoch	 0	 Train Accuracy	 0.5187	 Train AUC Score	 0.4802	 Test Accuracy: 0.4752	 test AUC Score	 0.4936	 unseen AUC Score	 0.4954
Duplicate	0	Epoch	 10	 Train Accuracy	 0.5179	 Train AUC Score	 0.4661	 Test Accuracy: 0.4596	 test AUC Score	 0.4641	 unseen AUC Score	 0.4665
Duplicate	0	Epoch	 20	 Train Accuracy	 0.4813	 Train AUC Score	 0.5103	 Test Accuracy: 0.5248	 test AUC Score	 0.4878	 unseen AUC Score	 0.4878
Duplicate	0	Epoch	 30	 Train Accuracy	 0.4813	 Train AUC Score	 0.5082	 Test Accuracy: 0.5248	 test AUC Score	 0.4877	 unseen AUC Score	 0.4877
Duplicate	0	Epoch	 40	 Train Accuracy	 0.4813	 Train AUC Score	 0.5145	 Test Accuracy: 0.5248	 test AUC Score	 0.4909	 unseen AUC Score	 0.4909
Duplicate	0	Epoch	 50	 Train Accuracy	 0.4813	 Train AUC Score	 0.5135	 Test Accuracy: 0.5248	 test AUC Score	 0.4915	 unseen AUC Score	 0.4915
Duplicate	0	Epoch	 60	 Train Accuracy	 0.4813	 Train AUC Score	 0.5105	 Test Accuracy: 0.5248	 test AUC Score	 0.4886	 unseen AUC Score	 0.4886
Duplicate	0	Epoch	 70	 Train Accuracy	 0.4813	 Train AUC Score	 0.5143	 Test Accuracy: 0.5248	 test AUC Score	 0.4910	 unseen AUC Score	 0.4910
Duplicate	0	Epoch	 80	 Train Accuracy	 0.4813	 Train AUC Score	 0.5145	 Test Accuracy: 0.5248	 test AUC Score	 0.4902	 unseen AUC Score	 0.4902
Duplicate	0	Epoch	 90	 Train Accuracy	 0.4813	 Train AUC Score	 0.5143	 Test Accuracy: 0.5248	 test AUC Score	 0.4906	 unseen AUC Score	 0.4906
Duplicate	0	Epoch	 100	 Train Accuracy	 0.4813	 Train AUC Score	 0.5147	 Test Accuracy: 0.5248	 test AUC Score	 0.4906	 unseen AUC Score	 0.4906
Duplicate	1	Epoch	 0	 Train Accuracy	 0.5070	 Train AUC Score	 0.4721	 Test Accuracy: 0.5124	 test AUC Score	 0.5031	 unseen AUC Score	 0.5036
Duplicate	1	Epoch	 10	 Train Accuracy	 0.5093	 Train AUC Score	 0.4705	 Test Accuracy: 0.5124	 test AUC Score	 0.5049	 unseen AUC Score	 0.5049
Duplicate	1	Epoch	 20	 Train Accuracy	 0.4907	 Train AUC Score	 0.5315	 Test Accuracy: 0.4876	 test AUC Score	 0.5005	 unseen AUC Score	 0.5005
Duplicate	1	Epoch	 30	 Train Accuracy	 0.4907	 Train AUC Score	 0.5373	 Test Accuracy: 0.4876	 test AUC Score	 0.5037	 unseen AUC Score	 0.5037
Duplicate	1	Epoch	 40	 Train Accuracy	 0.4907	 Train AUC Score	 0.5309	 Test Accuracy: 0.4876	 test AUC Score	 0.5001	 unseen AUC Score	 0.5001
Duplicate	1	Epoch	 50	 Train Accuracy	 0.4907	 Train AUC Score	 0.5307	 Test Accuracy: 0.4876	 test AUC Score	 0.4999	 unseen AUC Score	 0.4999
Duplicate	1	Epoch	 60	 Train Accuracy	 0.4907	 Train AUC Score	 0.5370	 Test Accuracy: 0.4876	 test AUC Score	 0.5036	 unseen AUC Score	 0.5036
Duplicate	1	Epoch	 70	 Train Accuracy	 0.4907	 Train AUC Score	 0.5371	 Test Accuracy: 0.4876	 test AUC Score	 0.5033	 unseen AUC Score	 0.5033
Duplicate	1	Epoch	 80	 Train Accuracy	 0.4907	 Train AUC Score	 0.5371	 Test Accuracy: 0.4876	 test AUC Score	 0.5034	 unseen AUC Score	 0.5034
Duplicate	1	Epoch	 90	 Train Accuracy	 0.4907	 Train AUC Score	 0.5373	 Test Accuracy: 0.4876	 test AUC Score	 0.5023	 unseen AUC Score	 0.5023
Duplicate	1	Epoch	 100	 Train Accuracy	 0.4907	 Train AUC Score	 0.5307	 Test Accuracy: 0.4876	 test AUC Score	 0.5007	 unseen AUC Score	 0.5007
Duplicate	2	Epoch	 0	 Train Accuracy	 0.5132	 Train AUC Score	 0.4583	 Test Accuracy: 0.4969	 test AUC Score	 0.4775	 unseen AUC Score	 0.4746
Duplicate	2	Epoch	 10	 Train Accuracy	 0.5132	 Train AUC Score	 0.4769	 Test Accuracy: 0.4969	 test AUC Score	 0.4926	 unseen AUC Score	 0.4941
Duplicate	2	Epoch	 20	 Train Accuracy	 0.5132	 Train AUC Score	 0.4729	 Test Accuracy: 0.4969	 test AUC Score	 0.4856	 unseen AUC Score	 0.4856
