Working on networkadex.txt in Overlap_0.1_Ncube_2

Network	networkadex.txt Duplicate	0	Epoch	 0	 Train Accuracy	 0.4815	 Train AUC Score	 0.5240	 Test Accuracy: 0.4583	 test AUC Score	 0.4878	 unseen AUC Score	 0.5000
Network	networkadex.txt Duplicate	0	Epoch	 10	 Train Accuracy	 0.6138	 Train AUC Score	 0.4556	 Test Accuracy: 0.5000	 test AUC Score	 0.3177	 unseen AUC Score	 0.2604
Network	networkadex.txt Duplicate	0	Epoch	 20	 Train Accuracy	 0.5608	 Train AUC Score	 0.4130	 Test Accuracy: 0.4583	 test AUC Score	 0.3281	 unseen AUC Score	 0.2934
Network	networkadex.txt Duplicate	0	Epoch	 30	 Train Accuracy	 0.5820	 Train AUC Score	 0.4624	 Test Accuracy: 0.4167	 test AUC Score	 0.3646	 unseen AUC Score	 0.3229
Network	networkadex.txt Duplicate	0	Epoch	 40	 Train Accuracy	 0.5291	 Train AUC Score	 0.4796	 Test Accuracy: 0.4583	 test AUC Score	 0.4358	 unseen AUC Score	 0.4340
Network	networkadex.txt Duplicate	0	Epoch	 50	 Train Accuracy	 0.5873	 Train AUC Score	 0.4830	 Test Accuracy: 0.4375	 test AUC Score	 0.4028	 unseen AUC Score	 0.4253
Network	networkadex.txt Duplicate	0	Epoch	 60	 Train Accuracy	 0.4868	 Train AUC Score	 0.4522	 Test Accuracy: 0.4792	 test AUC Score	 0.4028	 unseen AUC Score	 0.3802
Network	networkadex.txt Duplicate	0	Epoch	 70	 Train Accuracy	 0.5238	 Train AUC Score	 0.4799	 Test Accuracy: 0.3958	 test AUC Score	 0.3333	 unseen AUC Score	 0.3333
Network	networkadex.txt Duplicate	0	Epoch	 80	 Train Accuracy	 0.4921	 Train AUC Score	 0.5526	 Test Accuracy: 0.5000	 test AUC Score	 0.4878	 unseen AUC Score	 0.4774
Network	networkadex.txt Duplicate	0	Epoch	 90	 Train Accuracy	 0.5979	 Train AUC Score	 0.6353	 Test Accuracy: 0.5625	 test AUC Score	 0.5382	 unseen AUC Score	 0.5868
Network	networkadex.txt Duplicate	0	Epoch	 100	 Train Accuracy	 0.5238	 Train AUC Score	 0.6036	 Test Accuracy: 0.5417	 test AUC Score	 0.5729	 unseen AUC Score	 0.5694
Working on networkadex.txt in Overlap_0.1_Ncube_5

Network	networkadex.txt Duplicate	0	Epoch	 0	 Train Accuracy	 0.5026	 Train AUC Score	 0.5303	 Test Accuracy: 0.5625	 test AUC Score	 0.6357	 unseen AUC Score	 0.5787
Network	networkadex.txt Duplicate	0	Epoch	 10	 Train Accuracy	 0.5291	 Train AUC Score	 0.4122	 Test Accuracy: 0.6667	 test AUC Score	 0.4991	 unseen AUC Score	 0.4744
Network	networkadex.txt Duplicate	0	Epoch	 20	 Train Accuracy	 0.4497	 Train AUC Score	 0.3932	 Test Accuracy: 0.6250	 test AUC Score	 0.5560	 unseen AUC Score	 0.6205
Network	networkadex.txt Duplicate	0	Epoch	 30	 Train Accuracy	 0.5661	 Train AUC Score	 0.4361	 Test Accuracy: 0.6458	 test AUC Score	 0.5655	 unseen AUC Score	 0.4972
